from_store_number,from_store_name,to_store_number,to_store_name,sku,description,category_code,vendor,row_label,column_index,column_label,quantity,from_mtd_turns,to_mtd_turns
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,901028BK,ZapTaMetHebCLAUDI W,501,MLUG,,3,060,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,DR717BK,ZapTmAm5CuerDSEEK Y,511,LCPC,,10,095,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,PD3249926BK,ZapPtMetCosPuLOREN 1,513,GVIT,,5,070,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,PD3249926BK,ZapPtMetCosPuLOREN 1,513,GVIT,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,PD3249926BK,ZapPtMetCosPuLOREN 1,513,GVIT,,9,090,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,JK618BK,ZapMetRedSinKADI 6,514,FJIN,,9,42,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,PD3249931CF,ZapPtMetLisPuLOREN 1,514,GVIT,,3,060,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,PD3249931CF,ZapPtMetLisPuLOREN 1,514,GVIT,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,JK647BK,SanMetRedSinKADI 7,519,FJIN,,8,41,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,JK647BK,SanMetRedSinKADI 7,519,FJIN,,9,42,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,DR902BK,BotTmAm8CueDSEEK 6,522,LCPC,,4,065,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,224267BK,BotaTaAm4PuLOREN 1,527,HUPS,,5,070,1,0.0,2.2
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,EVER712BK,ZapDpPmAm6PuEAGL 5,541,CEVE,,6,100,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,M270B2306JNV,ZapDpPtAm6PuCAMP 2,541,CWIT,,4,080,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,M270B2306JNV,ZapDpPtAm6PuCAMP 2,541,CWIT,,5,090,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,901025ZHBHBK,ZapTaAm4CueCLAUD 1,501,MLUG,,11,100,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,901025ZHBHBK,ZapTaAm4CueCLAUD 1,501,MLUG,,13,110,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,9515KBL,ZapTcAm4CuerCLAUDI W,503,MKIN,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,233HCF,ZapPtAm4CuerLOREN W,504,MHUR,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,233HCF,ZapPtAm4CuerLOREN W,504,MHUR,,9,090,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,6003KSHD,ZapPtMetCuerCLAUDI W,504,MKIN,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,YSZ100117BKPU,ZapTaMetPuLOREN 5,511,GYUS,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,YSZWD0715W9BN,ZapPtMetLisLOREN 6,512,GYUS,,11,100,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,PD3249926BK,ZapPtMetCosPuLOREN 1,513,GVIT,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,PD322491BN,ZapPtMetCosPuLOREN 1,514,GVIT,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,9880NV,ZapPtBrocHuleTOPMO U,519,MILO,,1,1,2,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,9880NV,ZapPtBrocHuleTOPMO U,519,MILO,,13,12,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,9880NV,ZapPtBrocHuleTOPMO U,519,MILO,,15,13,2,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,9886BK,ZapPtBrocHuleKIDOR U,519,MILO,,5,090,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,9886BK,ZapPtBrocHuleKIDOR U,519,MILO,,6,100,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,10080KMRN,BotiAm4CuerCLAUDI W,522,MKIN,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,13893NVWHRD,ZapDpPtAm6PuLOREN 1,541,MKIN,,2,070,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,992BN,ZapDpPtAm5LonEAGLE 1,541,CWIT,,6,075,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,992GY,ZapDpPtAm5LonEAGLE 1,541,CWIT,,9,090,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,MENSKATEWHCP,ZapDpPtAm6PuEAGLE 1,541,CWIT,,6,075,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,MENSKATEWHNV,ZapDpPtAm6PuEAGLE 1,541,CWIT,,6,075,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,STRIPESBKLGY,ZapDpPtAm5PuEAGLE 1,541,CWIT,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,UH058NVYBL,ZapDpPtAm6LonURBAN Z,541,PCAR,,4,065,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,UH058NVYBL,ZapDpPtAm6LonURBAN Z,541,PCAR,,5,070,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,UH065BK,ZapDpPtAm7LonURBAN Z,541,PCAR,,6,075,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,UH072GY,ZapDpPtAm6LonURBAN Z,541,PCAR,,5,070,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,2806KDRGY,ZapDpPtAm4PuEAGLE W,553,MBUC,,5,13,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,2806KDRGY,ZapDpPtAm4PuEAGLE W,553,MBUC,,6,135,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,2806KDRGY,ZapDpPtAm4PuEAGLE W,553,MBUC,,8,1.5,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,2806KDRGY,ZapDpPtAm4PuEAGLE W,553,MBUC,,9,2,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,CLYDELACEBK,ZapPtAm5PuEAGLE 1,553,CWIT,,13,12,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,CLYDELACEWHNV,ZapPtAm5PuEAGLE 1,553,CWIT,,13,12,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,KYLELACEBK,ZapPtAm5PuEAGLE 1,553,CWIT,,15,13,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,MT9BKAB,ZapDpPtAm6PuEAGLE 1,553,MBUC,,2,060,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,MT9MRNWHBK,ZapDpPtAm6PuEAGLE 1,553,MBUC,,4,080,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,ZURICHLECGMRN,ZapDpPtAm5PuEAGLE 1,553,MBUC,,2,060,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,ZURICHMRNWHGY,ZapDpPtAm5PuEAGLE 1,553,MBUC,,2,060,1,0.0,0.0
2,UNLIMITED C. 2000,6,UNLIMITED Centro,ZURICHWHRDBK,ZapDpPtAm5PuEAGLE 1,553,MBUC,,2,060,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,ADENTRUEMOCCBK,ZapPtMetCueCLAUD 2,503,IDLO,,9,42.5,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,PIPERLACEUPBK,ZapPtAM5CueCLAUD 2,504,IDLO,,9,42.5,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,4210CHLBK,ZapTcMetCharLOREN 1,511,MKIN,,11,100,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,DR740BK,ZapTmMetCuerDSEEK 6,511,LCPC,,8,085,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,DR740BK,ZapTmMetCuerDSEEK 6,511,LCPC,,9,090,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,DR740BK,ZapTmMetCuerDSEEK 6,511,LCPC,,11,100,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,9610734NBN,ZapTaAm4PuKING 1,513,CWIT,,11,100,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,JK618BK,ZapMetRedSinKADI 6,514,FJIN,,9,42,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,Z006BK,ZapMetRedSinJOIA 6,514,FJIN,,9,42,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,160150BK,ZapDpPtAm7LoEAGL 2,541,CWIT,,3,070,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,160150BK,ZapDpPtAm7LoEAGL 2,541,CWIT,,5,090,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,EVER609KH,ZapDpPmAm7PuCAMP 2,541,CEVE,,4,080,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,EVER614BK,ZapDpPmAm5PuCAMP 2,541,CEVE,,2,060,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,STRIPESWHCP,ZapDpPtAm5PuEAGLE 1,541,CWIT,,6,075,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,UH065NV,ZapDpPtAm7LonURBAN Z,541,PCAR,,5,070,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,UH111WH,ZapDpPtAm7LonURBAN Z,541,PCAR,,6,075,1,0.0,0.0
2,UNLIMITED C. 2000,13,UNLIMITED MIRAFLORES,MARKTOECAPBLK,ZapTaAm4CueWESTF 5,503,IDLO,,14,41.5,1,0.0,0.0
2,UNLIMITED C. 2000,13,UNLIMITED MIRAFLORES,SONICLACEUPBN,ZapTcMetCueCLAUD 2,503,IDLO,,14,41.5,1,0.0,0.0
2,UNLIMITED C. 2000,13,UNLIMITED MIRAFLORES,UH052NV,ZapDpPtAm6LonURBAN Z,541,PCAR,,6,075,2,0.0,0.0
2,UNLIMITED C. 2000,13,UNLIMITED MIRAFLORES,163001BRDKD,BotaPtMetHuleKARST W,553,MVAL,,9,28,1,0.0,0.0
2,UNLIMITED C. 2000,14,UNLIMITED METROMALL,GRANTLACEUPBN,ZapTcMetCueCLAUD 2,503,IDLO,,9,42.5,1,0.0,0.0
2,UNLIMITED C. 2000,14,UNLIMITED METROMALL,RIOSNTSD,BotTaAm3CueCLAUD 2,522,IDLO,,14,41.5,1,0.0,0.0
2,UNLIMITED C. 2000,14,UNLIMITED METROMALL,XW28146NV,BotTaAm5PuLOREN Z,527,GNEW,,6,075,1,0.0,0.0
2,UNLIMITED C. 2000,14,UNLIMITED METROMALL,450502KHNV,ZapDpPtAm6PuLOREN 1,541,MKIN,,2,070,1,0.0,0.0
2,UNLIMITED C. 2000,28,UNLIMITED LASCASCADA,YSZT820RBK,ZapTaAm3CueCLAUD 8,501,GYUS,,9,090,1,0.0,8.0
2,UNLIMITED C. 2000,28,UNLIMITED LASCASCADA,JK687BK,ZapMetRedPenKADI 6,511,FJIN,,10,43,1,0.0,0.0
2,UNLIMITED C. 2000,28,UNLIMITED LASCASCADA,YSZ100118BKPU,ZapTaMetPuLOREN 5,511,GYUS,,5,070,1,0.0,0.0
2,UNLIMITED C. 2000,28,UNLIMITED LASCASCADA,244786ABK,ZapTbMetPuLOREN 1,513,HUPS,,6,075,1,0.0,0.0
2,UNLIMITED C. 2000,28,UNLIMITED LASCASCADA,HIGHTOPWHRD,ZapDpPtAm9PuEAGLE 1,541,CWIT,,8,085,1,0.0,0.0
2,UNLIMITED C. 2000,29,Unlimited GaleriasSP,M227B2202JNV,ZapDpPtAm7PuCAMP 2,541,CWIT,,4,080,1,0.0,0.0
2,UNLIMITED C. 2000,30,Unlimited CityMall T,YSZ23LA19RCFLT,ZapTaMetCueCLAUD 5,501,GYUS,,6,075,1,0.0,0.0
2,UNLIMITED C. 2000,30,Unlimited CityMall T,YSZ23LA22RBKLT,ZapTaAm4CueCLAUD 5,501,GYUS,,11,100,1,0.0,0.0
2,UNLIMITED C. 2000,30,Unlimited CityMall T,992GY,ZapDpPtAm5LonEAGLE 1,541,CWIT,,8,085,1,0.0,0.0
2,UNLIMITED C. 2000,30,Unlimited CityMall T,HIGHTOPWHRD,ZapDpPtAm9PuEAGLE 1,541,CWIT,,7,080,1,0.0,0.0
2,UNLIMITED C. 2000,30,Unlimited CityMall T,ZURICHWHRDBK,ZapDpPtAm5PuEAGLE 1,553,MBUC,,3,070,1,0.0,0.0
5,UNLIMITED FORHIM,2,UNLIMITED C. 2000,MARKPLNLACUPBN,ZapTaAm4CueCLAUD 2,503,IDLO,,8,42,1,0.0,0.0
5,UNLIMITED FORHIM,2,UNLIMITED C. 2000,EVER786BN,ZapPtAm3PuCAMPL A,514,CEVE,,4,080,1,0.0,2.2
5,UNLIMITED FORHIM,12,UNLIMITED MEGAMALLSP,GRANTLACEUPBK,ZapTcAm4CueCLAUD 2,503,IDLO,,14,41.5,1,0.0,0.0
5,UNLIMITED FORHIM,12,UNLIMITED MEGAMALLSP,BY327999BKNB,ZapPtAm4LisCAMPL 8,504,GVIT,,6,075,1,0.0,0.0
5,UNLIMITED FORHIM,12,UNLIMITED MEGAMALLSP,HELTONGRTBK,BotaMetCueWESTF 5,504,IDLO,,8,42,1,0.0,0.0
5,UNLIMITED FORHIM,12,UNLIMITED MEGAMALLSP,M101008YTN,BotinTaAm5PuLOREN Z,527,CWIT,,7,080,1,0.0,0.0
5,UNLIMITED FORHIM,12,UNLIMITED MEGAMALLSP,B8802BKWH,ZapDpAm6RedJOIA 5,541,FSAR,,8,41,1,1.8,2.2
5,UNLIMITED FORHIM,12,UNLIMITED MEGAMALLSP,EVER714BN,ZapDpPmAm6PuEAGL 5,541,CEVE,,3,070,1,0.0,0.0
5,UNLIMITED FORHIM,13,UNLIMITED MIRAFLORES,BY327999CFNB,ZapPtAm4LisCAMPL 8,504,GVIT,,3,060,1,0.0,0.0
5,UNLIMITED FORHIM,13,UNLIMITED MIRAFLORES,PIPERLACEUPBN,ZapPtAM5CueCLAUD 2,504,IDLO,,5,40,1,0.0,0.0
5,UNLIMITED FORHIM,13,UNLIMITED MIRAFLORES,SIMONLACEUPBN,ZapPtAM5CueCLAUD 2,504,IDLO,,4,39,1,0.0,0.0
5,UNLIMITED FORHIM,13,UNLIMITED MIRAFLORES,SIMONSLIPONBN,ZapPtMetCueCLAUD 2,504,IDLO,,14,41.5,1,0.0,0.0
5,UNLIMITED FORHIM,14,UNLIMITED METROMALL,GRANTSLIPONBN,ZapTcMetCueCLAUD 2,503,IDLO,,8,42,1,0.0,0.0
5,UNLIMITED FORHIM,14,UNLIMITED METROMALL,LIVIATOECAPBN,ZapTaAm5CueCLAUD 2,503,IDLO,,10,43,1,0.0,0.0
5,UNLIMITED FORHIM,14,UNLIMITED METROMALL,SONICSLIPONBN,ZapTcMetCueCLAUD 2,503,IDLO,,14,41.5,1,0.0,0.0
5,UNLIMITED FORHIM,14,UNLIMITED METROMALL,SIMONLACEUPBLK,ZapPtAm5CueWESTF 5,504,IDLO,,7,41,1,1.8,0.0
5,UNLIMITED FORHIM,14,UNLIMITED METROMALL,R3086BKPU,ZapMetRdLisLOREN 8,512,GYUS,,3,060,1,0.0,2.7
5,UNLIMITED FORHIM,28,UNLIMITED LASCASCADA,JK620BN,ZapMetRedSinKADI 6,514,FJIN,,9,42,1,0.0,0.0
5,UNLIMITED FORHIM,28,UNLIMITED LASCASCADA,DUCHZIPBOOT02BK,BotaTcMetCueWESTF 5,522,IDLO,,14,41.5,1,0.0,0.0
5,UNLIMITED FORHIM,30,Unlimited CityMall T,DUCHPLATEDBN,ZapTcAm4CueWESTF 5,503,IDLO,,9,42.5,1,0.0,0.0
5,UNLIMITED FORHIM,30,Unlimited CityMall T,HANHOBK,ZapTcAm5CueWESTF 5,503,IDLO,,8,42,1,0.0,0.0
5,UNLIMITED FORHIM,30,Unlimited CityMall T,DANIELMONKBK,ZapTcMetCueWESTF 5,504,IDLO,,8,42,1,0.0,2.7
6,UNLIMITED Centro,2,UNLIMITED C. 2000,325571DCF,ZapPtMetPuLOREN 1,514,HUPS,,7,080,1,0.0,0.0
6,UNLIMITED Centro,2,UNLIMITED C. 2000,ZHCF2003BN,ZapPtMetLisLOREN 6,514,GYUS,,7,080,1,0.0,0.0
6,UNLIMITED Centro,2,UNLIMITED C. 2000,224235LBN,BotaTaMetPuLOREN 1,527,HUPS,,7,080,1,0.0,0.0
6,UNLIMITED Centro,2,UNLIMITED C. 2000,224235LBN,BotaTaMetPuLOREN 1,527,HUPS,,9,090,1,0.0,0.0
6,UNLIMITED Centro,2,UNLIMITED C. 2000,042AQ,ZapDpPtMetLonEAGLE W,541,MITE,,11,100,1,0.0,0.0
6,UNLIMITED Centro,2,UNLIMITED C. 2000,995BN,ZapDpPtAm5PuEAGLE 1,541,CWIT,,9,090,1,0.0,0.0
6,UNLIMITED Centro,2,UNLIMITED C. 2000,STRIPESWHCP,ZapDpPtAm5PuEAGLE 1,541,CWIT,,8,085,1,0.0,0.0
6,UNLIMITED Centro,2,UNLIMITED C. 2000,UH104BK,ZapDpPtAm6LonURBAN Z,541,PCAR,,7,080,1,0.0,0.0
6,UNLIMITED Centro,2,UNLIMITED C. 2000,KYLELACEBK,ZapPtAm5PuEAGLE 1,553,CWIT,,1,1,1,0.0,0.0
6,UNLIMITED Centro,5,UNLIMITED FORHIM,XW28330BK,ZapTaAm4CosLOREN 3,513,GNEW,,7,080,1,0.0,0.0
6,UNLIMITED Centro,5,UNLIMITED FORHIM,M119A906YBK,BotinTaAm4PuLOREN Z,526,CWIT,,5,070,1,0.0,0.0
6,UNLIMITED Centro,5,UNLIMITED FORHIM,M101008YBK,BotinTaAm5PuLOREN Z,527,CWIT,,7,080,1,0.0,0.0
6,UNLIMITED Centro,12,UNLIMITED MEGAMALLSP,23H285BKNP,ZapPtAm5CueLARSH 1,504,MSEL,,3,060,1,0.0,0.0
6,UNLIMITED Centro,12,UNLIMITED MEGAMALLSP,9610734NBK,ZapTaAm4PuKING 1,513,CWIT,,5,070,1,0.0,0.0
6,UNLIMITED Centro,12,UNLIMITED MEGAMALLSP,325571BK,ZapPtMetPuLOREN 1,514,HUPS,,8,085,1,0.0,0.0
6,UNLIMITED Centro,12,UNLIMITED MEGAMALLSP,10080KMRN,BotiAm4CuerCLAUDI W,522,MKIN,,12,105,1,0.0,0.0
6,UNLIMITED Centro,12,UNLIMITED MEGAMALLSP,5222KML,BotiAm7CuerCLAUDI W,522,MKIN,,12,105,1,0.0,0.0
6,UNLIMITED Centro,12,UNLIMITED MEGAMALLSP,6012KMRN,BotiAm6CuerCLAUD W,522,MKIN,,9,090,1,0.0,1.6
6,UNLIMITED Centro,12,UNLIMITED MEGAMALLSP,XW28146BN,BotaTaAm5PuLOREN 3,527,GNEW,,11,100,1,2.2,0.0
6,UNLIMITED Centro,12,UNLIMITED MEGAMALLSP,UH058BLKWH,ZapDpPtAm6LonURBAN Z,541,PCAR,,5,070,1,0.0,0.0
6,UNLIMITED Centro,12,UNLIMITED MEGAMALLSP,UH072BK,ZapDpPtAm6LonURBAN Z,541,PCAR,,5,070,1,0.0,0.0
6,UNLIMITED Centro,12,UNLIMITED MEGAMALLSP,UH104BK,ZapDpPtAm6LonURBAN Z,541,PCAR,,7,080,1,0.0,0.0
